Model,Precision,Recall,F1,ROC_AUC,Accuracy
Baseline Logistic,0.05623003194888179,0.9263157894736842,0.10602409638554217,0.974985437150271,0.973848376978113
Baseline Random Forest,0.9324324324324325,0.7263157894736842,0.8165680473372781,0.945622830088938,0.9994537059880872
