Model,Precision,Recall,F1,ROC_AUC,Accuracy
Baseline Logistic,0.0562300319488817,0.9263157894736842,0.1060240963855421,0.974985437150271,0.973848376978113
Baseline Random Forest,0.9324324324324323,0.7263157894736842,0.8165680473372781,0.945622830088938,0.9994537059880872
Curated Logistic,0.0568999345977763,0.9157894736842104,0.1071428571428571,0.9816592665267468,0.9744466375299592
Curated Random Forest,0.9375,0.7894736842105263,0.8571428571428571,0.9673572534842908,0.9995594247849992
