Model,Precision,Recall,F1,ROC_AUC,Accuracy
Curated Logistic,0.05689993459777633,0.9157894736842105,0.10714285714285714,0.9816592665267468,0.9744466375299591
Curated Random Forest,0.9375,0.7894736842105263,0.8571428571428571,0.9673572534842907,0.9995594247849993
